172.232.249.190:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
172.232.252.106:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
43.133.145.156:53136, TENCENT-NET-AP-CN Tencent Building  Kejizhongyi Avenue (ID)
172.232.234.119:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
172.232.234.189:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
172.232.239.235:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
172.232.239.10:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
172.232.252.119:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
172.232.234.33:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
172.232.238.103:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
103.133.223.50:2096, IDNIC-CLOUDTEKNOLOGI-AS-ID PT Cloud Teknologi Nusantara (ID)
172.232.252.101:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
103.133.223.51:2096, IDNIC-CLOUDTEKNOLOGI-AS-ID PT Cloud Teknologi Nusantara (ID)
172.232.239.151:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
172.232.252.35:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
172.232.238.169:443, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
172.232.239.56:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
8.215.23.109:587, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (ID)
8.215.23.33:587, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (ID)
172.232.239.24:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
172.232.252.108:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
103.133.223.52:2096, IDNIC-CLOUDTEKNOLOGI-AS-ID PT Cloud Teknologi Nusantara (ID)
172.232.239.219:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
165.154.48.233:587, UCLOUD-HK-AS-AP UCLOUD INFORMATION TECHNOLOGY HK LIMITED (ID)
172.232.238.169:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
172.232.234.10:587, AKAMAI-LINODE-AP Akamai Connected Cloud (ID)
101.50.0.114:8443, PT Beon Multimedia (ID)
203.194.112.119:2053, Rumahweb (ID)
43.218.79.114:2053, AMAZONCOM INC (ID)
35.219.50.99:443, Google LLC (ID)
35.219.15.90:443, Google LLC (ID)
8.219.185.134:22512, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (SG)
157.230.240.71:9532, DIGITALOCEAN-ASN (SG)
168.138.166.213:10500, ORACLE-BMC-31898 (SG)
89.34.227.98:8080, BYTEVIRT-NET 64e79226b95f08d9ab04ffe26f1fd6116f579760 (SG)
138.2.89.88:27405, ORACLE-BMC-31898 (SG)
168.138.183.48:9090, ORACLE-BMC-31898 (SG)
146.235.16.65:15174, ORACLE-BMC-31898 (SG)
193.239.166.244:443, FIRST-SERVER-EU-AS FIRST-SERVER-US (SG)
47.236.119.25:55567, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (SG)
54.169.229.188:443, AMAZON-02 (SG)
139.180.215.77:57878, AS-VULTR (SG)
188.64.109.12:443, AS-SHARON (SG)
47.236.97.101:53314, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (SG)
8.222.159.112:30667, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (SG)
143.42.68.97:17055, AKAMAI-LINODE-AP Akamai Connected Cloud (SG)
138.2.95.61:1111, ORACLE-BMC-31898 (SG)
47.74.254.191:8900, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (SG)
15.235.187.177:587, OVH (SG)
47.236.119.190:51342, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (SG)
45.32.99.51:443, AS-VULTR (SG)
8.222.243.73:26385, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (SG)
43.156.16.213:31528, TENCENT-NET-AP-CN Tencent Building  Kejizhongyi Avenue (SG)
111.119.221.74:443, HWCLOUDS-AS-AP HUAWEI CLOUDS (SG)
8.219.59.208:11178, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (SG)
168.138.165.174:443, ORACLE-BMC-31898 (SG)
154.204.183.52:8080, AkileCloud Network (SG)
139.180.131.125:10005, AS-VULTR (SG)
194.36.178.132:443, FIRST-SERVER-EU-AS FIRST-SERVER-US (SG)
146.235.18.248:45137, ORACLE-BMC-31898 (SG)
5.223.41.42:443, HETZNER-CLOUD4-AS (SG)
47.236.246.163:14108, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (SG)
89.34.227.166:443, BYTEVIRT-NET 64e79226b95f08d9ab04ffe26f1fd6116f579760 (SG)
146.190.111.165:443, DIGITALOCEAN-ASN (SG)
143.198.85.62:49270, DIGITALOCEAN-ASN (SG)
167.71.194.185:8443, DIGITALOCEAN-ASN (SG)
64.49.14.239:443, LATITUDE-SH (SG)
43.134.239.19:443, TENCENT-NET-AP-CN Tencent Building  Kejizhongyi Avenue (SG)
143.198.85.62:18163, DIGITALOCEAN-ASN (SG)
168.138.178.6:19990, ORACLE-BMC-31898 (SG)
143.198.85.62:41536, DIGITALOCEAN-ASN (SG)
47.236.25.107:27903, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (SG)
194.127.193.124:24467, LEASEWEB-APAC-SIN-11 LEASEWEB SINGAPORE PTE. LTD. (SG)
129.150.50.63:443, ORACLE-BMC-31898 (SG)
8.222.128.32:443, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (SG)
158.178.225.124:53618, ORACLE-BMC-31898 (SG)
47.245.113.31:40159, ALIBABA-CN-NET Alibaba US Technology Co.  Ltd. (SG)
18.142.183.94:443, AMAZON-02 (SG)
168.138.184.172:443, ORACLE-BMC-31898 (SG)
158.178.225.124:12934, ORACLE-BMC-31898 (SG)
207.148.68.228:80, AS-VULTR (SG)
